AGORA ID,Official name,Casual name,Link to document,Authority,Collections,Most recent activity,Most recent activity date,Proposed date,Annotated?,Validated?,Primarily applies to the government,Primarily applies to the private sector,Short summary,Long summary,Tags,Summaries and tags may include unreviewed machine output,Official plaintext retrieved,Official plaintext source,Official plaintext unavailable/infeasible,Official pdf source,Official pdf retrieved,Number of segments created,Applications: Agriculture and resource extraction,"Applications: Arts, sports, leisure, travel, and lifestyle",Applications: Broadcasting and media production,Applications: Business services and analytics,Applications: Construction and field services,Applications: Consumer goods,Applications: Education,Applications: Energy and utilities,Applications: Finance and investment,Applications: Government: benefits and welfare,Applications: Government: judicial and law enforcement,Applications: Government: military and public safety,Applications: Government: other applications/unspecified,Applications: Manufacturing and process automation,"Applications: Medicine, life sciences and public health",Applications: Networking and telecommunications,"Applications: Sales, retail, and customer relations",Applications: Security,Applications: Transportation,Harms: Detrimental content,Harms: Discrimination,Harms: Ecological harm,Harms: Financial loss,Harms: Harm to health/safety,Harms: Harm to infrastructure,Harms: Harm to property,"Harms: Violation of civil or human rights, including privacy",Incentives: Access to business opportunities,Incentives: Civil liability,Incentives: Criminal liability,Incentives: Fines,Incentives: Imprisonment,Incentives: Subsidies,Risk factors: Bias,Risk factors: Interpretability and explainability,Risk factors: Privacy,Risk factors: Reliability,Risk factors: Reliability: Robustness,Risk factors: Safety,Risk factors: Security,Risk factors: Security: Cybersecurity,Risk factors: Security: Dissemination,Risk factors: Transparency,Strategies: Convening,Strategies: Disclosure,Strategies: Disclosure: About evaluation,Strategies: Disclosure: About incidents,Strategies: Disclosure: About inputs,Strategies: Disclosure: Accuracy thereof,Strategies: Disclosure: In deployment,Strategies: Disclosure: In standard form,Strategies: Evaluation,Strategies: Evaluation: Adversarial testing,Strategies: Evaluation: Conformity assessment,Strategies: Evaluation: External auditing,Strategies: Evaluation: Impact assessment,Strategies: Evaluation: Post-market monitoring,Strategies: Governance development,Strategies: Government study or report,Strategies: Government support,Strategies: Government support: AI workforce-related,Strategies: Government support: For R&D,Strategies: Input controls,Strategies: Input controls: Compute circulation,Strategies: Input controls: Compute use,Strategies: Input controls: Data circulation,Strategies: Input controls: Data use,"Strategies: Licensing, registration, and certification",Strategies: New institution,Strategies: Performance requirements,Strategies: Pilots and testbeds,Strategies: Tiering,Strategies: Tiering: Tiering based on domain of application,Strategies: Tiering: Tiering based on generality,Strategies: Tiering: Tiering based on impact,Strategies: Tiering: Tiering based on inputs,Strategies: Tiering: Tiering based on planning ability
1921,AI Act of 2024,AI Act of 2024 ,https://www.congress.gov/bill/118th-congress/house-bill/10262/text,United States Congress,U.S. federal laws,Defunct,2025-01-03,2024-11-26,true,false,true,false,"Require financial regulators and the Treasury to study and publicly report on the benefits, risks, and regulatory impacts of AI use in banking, finance and housing markets, and to provide recommendations for responsible AI adoption, informed by public input. ","Mandates financial regulators to submit and publicly publish reports within 180 days assessing the benefits and risks of AI in their sectors.

Requires banking regulators to examine AI's role in banking operations, fraud detection, cybersecurity, and fair lending practices, with a focus on smaller and community financial institutions.

Directs the Securities and Exchange Commission to explore AI's use in market research, portfolio management, and fraud detection in securities markets, and assess regulatory gaps and staffing challenges related to AI expertise.

Instructs housing and mortgage regulators to evaluate AI's impact on mortgage efficiency, credit decisions, and real estate practices, with particular focus on the impacts for underserved communities.

Requests the Treasury Department to report on AI's application supporting compliance with the Bank Secrecy Act and sanctions laws, strengthening cybersecurity defenses, and protecting the financial system from national security threats

Mandates the inclusion of legislative recommendations in each report to promote responsible adoption of AI across these sectors, and requires public consultation to gather input for the drafting of reports. ",Strategies: Government study or report;Applications: Finance and investment;Harms: Discrimination;Strategies: Disclosure;Strategies: Government study or report;Strategies: Governance development;Applications: Finance and investment;Strategies: Government study or report;Strategies: Government study or report;Applications: Finance and investment;Strategies: Disclosure;Strategies: Government study or report;Strategies: Governance development;Applications: Finance and investment;Strategies: Government study or report;Strategies: Disclosure;Harms: Discrimination;Applications: Finance and investment;Strategies: Government study or report;Strategies: Disclosure;Strategies: Governance development;Applications: Finance and investment;Applications: Finance and investment;Strategies: Government study or report;Strategies: Disclosure;Strategies: Governance development;Strategies: Government study or report,false,2025-02-06,https://www.congress.gov/bill/118th-congress/house-bill/10262/text,false,,,11,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2733,Artificial Intelligence Civil Rights Act of 2025,Artificial Intelligence Civil Rights Act of 2025,https://www.congress.gov/bill/119th-congress/house-bill/6356/text,United States Congress,U.S. federal laws,Proposed,2025-12-02,2025-12-02,false,false,false,false,"Regulates developers and deployers of AI algorithms to prevent discrimination and disparate impacts, requiring pre-deployment evaluations and annual assessments. Authorizes the FTC and states to enforce compliance, and creates a private right of action. Establishes transparency and consumer rights.","Establishes the ""Artificial Intelligence Civil Rights Act of 2025"" to protect individual rights concerning computational algorithms.

Prohibits developers and deployers from using covered algorithms that cause discrimination or disparate impacts based on protected characteristics in consequential actions such as employment, credit, and housing.

Requires developers and deployers to conduct pre-deployment evaluations and annual impact assessments with independent audits to identify potential harms or biases from AI systems.

Mandates transparent disclosures, including audits and impact assessments, by developers and deployers, and requires mechanisms for individuals to report violations and seek redress.

Empowers the Federal Trade Commission (FTC) and states to enforce the Act, providing penalties and permitting civil actions by affected individuals.

Directs the FTC to study and implement regulations on providing explanations for algorithmic decisions and options for human alternatives.

Allocates resources, including new personnel and funding, for federal implementation and oversight.",,true,2026-02-06,https://www.congress.gov/bill/119th-congress/house-bill/6356/text/ih?format=txt,false,,,61,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2730,Artificial Intelligence Risk Evaluation Act of 2025,Artificial Intelligence Risk Evaluation Act of 2025,https://www.congress.gov/bill/119th-congress/senate-bill/2938/text,United States Congress,U.S. federal laws,Proposed,2025-09-29,2025-09-29,false,false,false,false,"Requires the Secretary of Energy to establish the Advanced Artificial Intelligence Evaluation Program within 90 days. Obligates developers to provide necessary materials for program participation. Prohibits AI deployment without compliance. Imposes $1,000,000 daily penalties for violations.","Requires the Secretary of Energy to establish the Advanced Artificial Intelligence Evaluation Program to evaluate advanced AI systems using standardized testing protocols. 

Mandates participation from developers of advanced AI systems in the program and prohibits the deployment of such systems without program compliance, enforcing penalties for violations.

Defines key terms, including ""advanced artificial intelligence system"" and ""adverse AI incident,"" to clarify program scope.

Instructs the program to perform classified testing, assess risks, develop containment protocols, and propose regulatory options for AI oversight.

Obligates the Secretary to submit a comprehensive report to Congress with recommendations for Federal oversight and regulatory structures based on empirical data from the program.

Requires annual updates on program findings and insights to be submitted to Congress for the program's duration.

Sets a program termination date 7 years post-enactment unless Congress renews it.",,true,2026-02-04,https://www.congress.gov/bill/119th-congress/senate-bill/2938/text/is?format=txt,false,,,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
483,Supply Chain Mapping and Monitoring Act,Supply Chain Mapping and Monitoring Act,https://www.congress.gov/bill/118th-congress/house-bill/796,United States Congress,U.S. federal laws,Defunct,2025-01-03,2023-02-02,false,false,false,false,"Establishes the Supply Chain Resiliency and Crisis Response Office to monitor and enhance supply chain resilience. Includes AI, machine learning, and robotics as key technology areas. Coordinates with international partners and private sectors to identify vulnerabilities and ensure critical industry sustainability.","Establishes the Supply Chain Resiliency and Crisis Response Office within 180 days to monitor and enhance supply chain resilience, especially for critical industries and goods.

Mandates the Under Secretary to map, monitor, and model supply chains, identifying gaps and vulnerabilities.

Requires collaboration with federal agencies, private sector, labor organizations, and international partners to strengthen supply chains and prepare for shocks.

Involves continuous monitoring of supply chain resilience, diversity, and security, and mandates quadrennial reports on supply chain resiliency and domestic manufacturing.

Authorizes $500 million for fiscal years 2024-2028 to fund these activities, ensuring up to 2% per fiscal year for administrative costs.",,true,2024-05-23,https://www.congress.gov/bill/118th-congress/house-bill/796/text,false,,,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
682,Air Tour and Sport Parachuting Safety Improvement Act of 2023,Air Tour and Sport Parachuting Safety Improvement Act of 2023,https://www.congress.gov/bill/118th-congress/senate-bill/1032,United States Congress,U.S. federal laws,Defunct,2025-01-03,2023-03-29,true,true,true,false,"Requires the FAA administrator to, within three years, mandate new safety requirements for commercial air tour operators,  including training in strategies for maintaining control, such as through the use of automated systems. Establishes a rulemaking committee to develop standards and recommendations, including algorithm-driven traffic advisory systems, whose findings the administrator reports to Congress.","Requires the FAA administrator to, within three years of enactment, mandate new safety requirements for all certified commercial air tour operators to incorporate avoidance training for controlled flight into terrain and in-flight loss of control, including strategies for maintaining control, such as the use of automated systems.

Mandates the FAA Administrator to convene an aviation rulemaking committee to review and develop standards for commercial air tour operators, including establishing methods for traffic avoidance utilizing advisory systems driven by algorithms.

Directs the committee to consider how flight data recording technologies can identify and correct hazardous trends, how data can be used to modify behavior to prevent accidents, and technological advancements in flight data recording technology.

Requires the FAA Administrator to submit a report to Congress within 20 months based on the committee's findings, issue an intent to proceed with proposed rulemakings within 12 months after the report, and issue final rules within three years of enactment.

Authorizes appropriations as necessary to implement the Act.",Strategies: Governance development;Applications: Transportation;Strategies: Convening;Strategies: Governance development;Applications: Transportation;Strategies: Government study or report,false,2024-06-06,https://www.congress.gov/bill/118th-congress/senate-bill/1032/text,false,,,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1259,Validation and Evaluation for Trustworthy (VET) Artificial Intelligence Act,VET Artificial Intelligence Act,https://www.congress.gov/bill/118th-congress/senate-bill/4769,United States Congress,U.S. federal laws,Defunct,2025-01-03,2024-07-24,true,false,true,false,"Directs the National Institute of Standards and Technology to develop voluntary guidelines for internal and external AI assurance, requiring testing and validation to build trust and accountability. Establishes an advisory committee and a federal study to assess assurance capabilities, including their qualifications, safeguards, and infrastructure, and to report recommendations to Congress.","Establishes the ""VET Artificial Intelligence Act"" to create voluntary consensus-based guidelines for the testing, evaluation, validation, and verification of AI systems, to enhance trust and adoption.

Mandates the National Institute of Standards and Technology to develop, publish, and update these guidelines, addressing consumer privacy, harm mitigation, dataset quality, and governance.

Requires the establishment of an Artificial Intelligence Assurance Qualifications Advisory Committee to provide recommendations on qualifications and accreditation for entities conducting AI assurance.

Directs a study to evaluate the capabilities of entities conducting AI assurances, assessing their resources, methodologies, and market demand, and exploring the use of existing accredited facilities for these purposes.

Obliges the publication of guidelines and advisory committee recommendations for assurance qualifications, ensuring alignment with international standards.

Involves stakeholder outreach and collaboration with various sectors to refine guidelines.",Strategies: Governance development;Strategies: Evaluation;Strategies: Disclosure;Risk factors: Transparency;Strategies: Evaluation: Impact assessment;Risk factors: Privacy;Strategies: Disclosure: About evaluation;Strategies: Convening;Strategies: Evaluation: Conformity assessment;Strategies: Evaluation: External auditing;Risk factors: Reliability;Strategies: New institution;Strategies: Convening;Strategies: Disclosure;Strategies: Disclosure: About evaluation;Strategies: Evaluation;Strategies: Government study or report;Strategies: Disclosure;Strategies: Disclosure: About evaluation;Strategies: Evaluation,false,2024-09-28,https://www.congress.gov/bill/118th-congress/senate-bill/4769/all-actions,false,,,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1988,TAKE IT DOWN Act ,TAKE IT DOWN Act (2025),https://www.congress.gov/bill/119th-congress/senate-bill/146/text?s=4&r=1&q=%7B%22search%22%3A%22take+it+down%22%7D,United States Congress,U.S. federal laws,Enacted,2025-05-19,2025-01-16,true,false,false,true,"Prohibits the use of AI to create or distribute nonconsensual digital forgeries, establishes criminal penalties and civil remedies, and criminalizes related threats. Requires platforms to establish procedures for removal requests of nonconsensual intimate images, and assigns enforcement authority to the Federal Trade Commission. ","Prohibits the sharing of nonconsensual intimate visual depictions online, including those created by artificial intelligence (AI), known as digital forgeries. 

Criminalizes the creation and distribution of such depictions without consent, especially targeting AI-altered, identifiable images. 

Imposes penalties, including fines and imprisonment, for offenses involving adults and minors. 

Requires covered platforms to establish a clear removal process within one year of the Act’s enactment, to remove valid nonconsensual intimate images within 48 hours of the request.

Provides liability protections for platforms that remove content in good faith.

Empowers the Federal Trade Commission to enforce compliance, treating noncompliance as an unfair or deceptive act. 

Specifies legal exceptions, including disclosures for lawful or investigative purposes. ","Harms: Detrimental content;Harms: Violation of civil or human rights, including privacy;Harms: Harm to health/safety;Harms: Detrimental content;Harms: Detrimental content;Harms: Violation of civil or human rights, including privacy;Harms: Detrimental content;Incentives: Fines;Incentives: Criminal liability;Harms: Detrimental content;Harms: Violation of civil or human rights, including privacy;Harms: Detrimental content;Harms: Harm to health/safety;Incentives: Criminal liability;Strategies: Governance development;Harms: Detrimental content;Harms: Violation of civil or human rights, including privacy;Strategies: Disclosure;Strategies: Disclosure: About incidents;Risk factors: Transparency;Harms: Detrimental content;Incentives: Civil liability",false,2025-02-17,https://www.congress.gov/bill/119th-congress/senate-bill/146/text?s=4&r=1&q=%7B%22search%22%3A%22take+it+down%22%7D,false,,,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2435,Advanced AI Security Readiness Act,Advanced AI Security Readiness Act,https://www.congress.gov/bill/119th-congress/house-bill/3919/text,United States Congress,U.S. federal laws,Proposed,2025-06-11,2025-06-11,true,false,true,false,"Directs the NSA Director to develop an AI Security Playbook to identify vulnerabilities in AI technologies and create strategies to respond to cyber threats, informed by expert engagement and government security involvement. Mandates progress reports to congressional committees.","Directs the Director of the National Security Agency to develop an AI Security Playbook to defend AI technologies from theft by threat actors.

Requires the identification of vulnerabilities specific to AI technologies, with emphasis on threats not typically present or as severe in conventional IT systems.

Instructs the identification of AI components and information that could advance threat actors' capabilities if stolen.

Mandates the development of strategies to detect, prevent, and respond to cyber threats targeting AI.

Requires inclusion of methodologies and assessments in a classified annex and best practices in a public portion for dissemination.

Engages with AI developers and experts for insights and collaboration on security strategies to inform the development of the Playbook. 

Requires the submission of progress and completion reports to congressional intelligence committees within specified timelines.",Strategies: Governance development;Risk factors: Security;Risk factors: Security: Cybersecurity;Strategies: Government support;Risk factors: Security: Dissemination;Strategies: Evaluation;Strategies: Governance development;Strategies: Convening;Strategies: Government study or report,false,2026-01-20,https://www.congress.gov/bill/119th-congress/house-bill/3919/text,false,,,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1687,Next Generation Military Education Act,Next Generation Military Education Act,https://www.congress.gov/bill/118th-congress/house-bill/9903,United States Congress,U.S. federal laws,Defunct,2025-01-03,2024-10-01,false,false,false,false,"Requires the Department of Defense to develop AI and machine learning courses for military personnel, expand the Digital On-Demand Program to all members and employees, and incorporate AI risks into annual cybersecurity training.","Amends the National Defense Authorization Act to require the Department of Defense to develop and provide distance education courses on artificial intelligence (AI) and machine learning for Armed Forces personnel.

Mandates these courses to cover AI literacy, ethical use, data protection, and awareness of AI-generated content.

Requires military departments to ensure access and notify personnel about these courses.

Obligates the Secretary of Defense to report to Congress on the progress of these activities.

Expands participation in the Digital On-Demand Program to all Department of Defense entities and personnel, promoting AI education.

Incorporates AI risks and threats into annual cybersecurity training for Armed Forces and civilian Department of Defense employees.

Requires annual reporting to Congress on the expansion and promotion of the Digital On-Demand Program. 

Defines key terms, including ""artificial intelligence"" and ""Digital On-Demand Program.""",,true,2024-11-20,https://www.congress.gov/bill/118th-congress/house-bill/9903/text,false,,,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1679,Modernizing Data Practices to Improve Government Act,Modernizing Data Practices to Improve Government Act,https://www.congress.gov/bill/118th-congress/house-bill/10151,United States Congress,U.S. federal laws,Defunct,2025-01-03,2024-11-18,false,false,false,false,Defines artificial intelligence using existing legislation and includes AI in data governance. Requires the Chief Data Officer Council to identify AI opportunities and enhance data practices. Mandates biennial reports on AI use and data governance improvements in agencies.,"Amends title 44 of the United States Code to define ""artificial intelligence"" and ""data governance.""

Requires Chief Data Officers to focus on data management and governance, including AI-related data standards.

Mandates the Chief Data Officer Council to enhance data governance, evaluate new technologies, and ensure AI use improves government operations.

Directs the Council to report on data governance progress and provide recommendations for AI and emerging technology adoption, including data transparency and privacy.

Obliges the Director to issue guidance on implementing Council recommendations and maintain a public inventory of Chief Data Officers.

Sets reporting requirements for the Comptroller General on the Council's effectiveness and challenges.

Establishes a sunset clause, rendering the section ineffective after December 14, 2031.

Prohibits the allocation of additional funds to implement the Act.",,true,2024-11-20,https://www.congress.gov/bill/118th-congress/house-bill/10151/text,false,,,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
