term,tfidf_sum,tfidf_avg_per_doc,doc_freq,idf,max_doc_tfidf
intelligence,10124.556936318988,9.965115094802153,834,1.1971806711977044,238.2389535683432
system,9608.615571492455,9.457298790839031,490,1.7281682682540394,846.8024514444793
artificial,9400.407811537654,9.252369893245723,819,1.2153080557902611,240.6309950464717
systems,8630.581526209595,8.494666856505507,536,1.6386143015396952,599.7328343635285
covered,7995.076140233553,7.869169429363733,235,2.46078059102295,346.97006333423593
research,7508.898186170219,7.39064782103368,444,1.8265381138823198,761.6663934889274
technology,7219.092863777404,7.105406361985634,665,1.4233227255081708,244.8115087874054
security,7091.64851304074,6.979969008898366,534,1.6423456491525532,180.65802140678085
united,6741.41156341473,6.635247601786152,567,1.5824909773274085,212.05379096187275
national,6715.086720440049,6.609337323267765,588,1.5461862123969732,289.136821718234
development,6431.8645219335,6.330575316863682,602,1.5226951993213746,251.24470788802682
director,5831.06760107526,5.739239764837855,333,2.1134714030718595,735.4880482690071
program,5804.332977979915,5.71292615942905,395,1.9431981847940794,297.30932227349416
term,5735.354414238812,5.645033872282295,499,1.710004297626368,78.66019769081294
means,5364.672188875268,5.280189162278807,586,1.5495875762204634,137.91329428362124
model,5248.54622364307,5.165891952404597,225,2.504077396776274,353.0749129454547
article,5101.8998589213015,5.021554979253249,96,3.349901417545177,1939.5929207586576
public,5053.909284317865,4.974320161730182,592,1.5394179970508346,138.5476197345751
risks,5050.879929642616,4.971338513427772,308,2.1912711191508145,184.06677400866843
risk,5030.310828991448,4.951093335621504,330,2.122494020671497,186.77947381909175
appropriate,5013.629405310684,4.934674611526264,553,1.6074477093012762,205.75330679056336
individual,4764.370877645691,4.689341415005601,358,2.0412900075602813,244.95480090723376
general,4711.087095423845,4.636896747464415,729,1.331567861906123,119.84110757155108
service,4666.320259756895,4.592834901335527,392,1.9508027841792988,236.04713688569515
critical,4637.238524834825,4.564211146490969,215,2.5493339883643946,466.52811987068424
services,4580.987988969859,4.508846445836475,455,1.802119586534174,122.54413188432383
deployer,4570.988515760271,4.499004444645936,28,4.557316566062086,528.648721663202
relevant,4560.282090160433,4.488466624173654,461,1.789047504966821,323.8175983989946
technologies,4501.973154824442,4.431075939787837,473,1.7634050743534835,98.75068416379507
standards,4441.90972645991,4.371958392184951,359,2.038508364598404,454.5873653054441
decision,4423.21760654077,4.353560636359026,203,2.606492402204344,383.15438312403853
safety,4401.800532803302,4.332480839373329,301,2.2141853786736903,152.7787911284846
activities,4340.708241747091,4.272350631640838,414,1.8963338758178616,297.72441850340425
defense,4302.028695377305,4.234280211985536,354,2.052494606573144,141.62212785354694
education,4289.76564811105,4.222210283573868,295,2.2342529417245,609.9510530907885
requirements,4226.270346515373,4.1597149079875715,478,1.7529117986376446,282.2187995806608
must,4222.390719818249,4.155896377773867,232,2.4735739424828593,306.72316886787456
models,4131.783663439038,4.066716204172281,258,2.367784334349022,224.9395117631571
developer,4042.5628437877617,3.978900436798978,60,3.8137385318752486,385.18759171940013
content,4040.0483625186184,3.9764255536600577,268,2.329901016446721,226.00039859533192
report,4024.00285449487,3.9606327308020375,566,1.5842530923208078,95.05518553924847
described,3950.8034910786914,3.888586113266429,462,1.7868853419623258,132.22951530521212
automated,3949.947724368785,3.8877438231976233,199,2.626295029500523,506.874940693601
out,3879.523152176443,3.818428299386263,504,1.7000539667732002,333.21057748754725
following,3856.306726967062,3.795577487172305,745,1.309886795844799,108.72060405511832
high-risk,3845.5889051617623,3.7850284499623643,59,3.830267833826459,1198.8738319876818
science,3777.5021196026014,3.7180138972466548,338,2.09861228866811,379.8488242489279
support,3771.7130976559333,3.7123160409999345,475,1.75919454181714,198.7889832253368
office,3759.0896354549827,3.6998913734793137,396,1.9406761153613696,153.3134131135482
date,3756.0308597330104,3.6968807674537505,621,1.4916723033093806,129.7754903879161
foreign,3747.6982163381676,3.688679346789535,161,2.837016060816176,419.87837700079405
these,3722.8675554202364,3.6642397199018073,247,2.4111836498835775,212.18416118975483
energy,3711.6876935310706,3.653235918829794,212,2.563320230339135,543.4238888318966
provide,3693.856702531335,3.635685730837928,570,1.5772231863925499,99.36506074273065
training,3674.655071690698,3.6167864878845455,373,2.0003565986340277,110.01961292487152
management,3625.7891950161343,3.5686901525749355,407,1.9133452216443982,120.5407489635971
assessment,3607.3533486467095,3.5505446344947926,343,2.083970738675162,320.93149375597494
iii,3581.275126084377,3.524877092602733,435,1.8469701526995257,179.156104811854
ensure,3552.3405867823167,3.4963982153369257,457,1.797743211934375,138.42622731894687
review,3539.581188782377,3.48383975273856,339,2.095666778438353,303.87168287356116
action,3505.8459976401864,3.4506358244490025,311,2.1816092082390774,466.8643705631626
rights,3499.9978177794683,3.4448797419089257,270,2.322493575168859,160.25205668665126
health,3483.495775359373,3.4286375741726114,260,2.3600919887258662,245.4495668274901
pursuant,3472.721577284581,3.418033048508446,407,1.9133452216443982,176.02776039128463
human,3447.2958359087274,3.39300771250859,362,2.0302095617837095,136.02404063950854
new,3431.508993792322,3.377469482079057,494,1.7200546334798696,158.245026280148
sec,3388.2346951238574,3.3348766684289934,664,1.4248253553927057,128.2342819853435
business,3375.669891935526,3.3225097361570137,275,2.30421153033141,769.6066511306909
regulations,3342.2932504122477,3.2896587110356768,284,2.272123215779909,109.06191435743564
privacy,3254.697007246525,3.2034419362662647,264,2.344882570062338,189.93548817504936
digital,3229.73757510418,3.178875566047421,267,2.3336254155377034,231.02891613823263
