AGORA ID,Cosponsor_FullName,Cosponsor_FirstName,Cosponsor_MiddleName,Cosponsor_LastName,Cosponsor_Party,Cosponsor_State,Cosponsor_District,Cosponsor_BioguideId,Cosponsor_URL,Cosponsor_SponsorshipDate,Cosponsor_IsOriginal,Cosponsor_WithdrawnDate,Cosponsor_IsWithdrawn
2,"Sen. Rubio, Marco [R-FL]",Marco,,Rubio,R,FL,,R000595,https://api.congress.gov/v3/member/R000595?format=json,2021-05-13,True,,False
2,"Sen. Padilla, Alex [D-CA]",Alex,,Padilla,D,CA,,P000145,https://api.congress.gov/v3/member/P000145?format=json,2021-05-13,True,,False
802,"Rep. Lofgren, Zoe [D-CA-18]",ZOE,,LOFGREN,D,CA,18.0,L000397,https://api.congress.gov/v3/member/L000397?format=json,2023-10-26,True,,False
802,"Rep. Miller, Max L. [R-OH-7]",Max,L.,Miller,R,OH,7.0,M001222,https://api.congress.gov/v3/member/M001222?format=json,2023-10-26,True,,False
802,"Rep. Weber, Randy K., Sr. [R-TX-14]",Randy,K.,Weber,R,TX,14.0,W000814,https://api.congress.gov/v3/member/W000814?format=json,2023-10-26,True,,False
802,"Rep. Babin, Brian [R-TX-36]",Brian,,Babin,R,TX,36.0,B001291,https://api.congress.gov/v3/member/B001291?format=json,2023-10-26,True,,False
802,"Rep. Baird, James R. [R-IN-4]",James,R.,Baird,R,IN,4.0,B001307,https://api.congress.gov/v3/member/B001307?format=json,2023-10-26,True,,False
802,"Rep. Garcia, Mike [R-CA-27]",Mike,,Garcia,R,CA,27.0,G000061,https://api.congress.gov/v3/member/G000061?format=json,2023-10-26,True,,False
802,"Rep. Bice, Stephanie I. [R-OK-5]",Stephanie,I.,Bice,R,OK,5.0,B000740,https://api.congress.gov/v3/member/B000740?format=json,2023-10-26,True,,False
802,"Rep. Obernolte, Jay [R-CA-23]",Jay,,Obernolte,R,CA,23.0,O000019,https://api.congress.gov/v3/member/O000019?format=json,2023-10-26,True,,False
802,"Rep. Fleischmann, Charles J. ""Chuck"" [R-TN-3]",Charles,"J. ""Chuck""",Fleischmann,R,TN,3.0,F000459,https://api.congress.gov/v3/member/F000459?format=json,2023-10-26,True,,False
802,"Rep. Tenney, Claudia [R-NY-24]",Claudia,,Tenney,R,NY,24.0,T000478,https://api.congress.gov/v3/member/T000478?format=json,2023-10-26,True,,False
802,"Rep. McCormick, Richard [R-GA-6]",Richard,,McCormick,R,GA,6.0,M001218,https://api.congress.gov/v3/member/M001218?format=json,2023-10-26,True,,False
802,"Rep. Collins, Mike [R-GA-10]",Mike,,Collins,R,GA,10.0,C001129,https://api.congress.gov/v3/member/C001129?format=json,2023-10-26,True,,False
802,"Rep. Kean, Thomas H. [R-NJ-7]",Thomas,H.,Kean,R,NJ,7.0,K000398,https://api.congress.gov/v3/member/K000398?format=json,2023-10-26,True,,False
802,"Rep. Feenstra, Randy [R-IA-4]",Randy,,Feenstra,R,IA,4.0,F000446,https://api.congress.gov/v3/member/F000446?format=json,2023-11-01,False,,False
802,"Rep. Moran, Nathaniel [R-TX-1]",Nathaniel,,Moran,R,TX,1.0,M001224,https://api.congress.gov/v3/member/M001224?format=json,2023-11-06,False,,False
802,"Rep. Crawford, Eric A. ""Rick"" [R-AR-1]",Eric,"A. ""Rick""",Crawford,R,AR,1.0,C001087,https://api.congress.gov/v3/member/C001087?format=json,2023-11-06,False,,False
802,"Rep. Bonamici, Suzanne [D-OR-1]",Suzanne,,Bonamici,D,OR,1.0,B001278,https://api.congress.gov/v3/member/B001278?format=json,2023-11-07,False,,False
802,"Rep. Foushee, Valerie P. [D-NC-4]",Valerie,P.,Foushee,D,NC,4.0,F000477,https://api.congress.gov/v3/member/F000477?format=json,2023-11-07,False,,False
802,"Rep. Ross, Deborah K. [D-NC-2]",Deborah,K.,Ross,D,NC,2.0,R000305,https://api.congress.gov/v3/member/R000305?format=json,2023-11-07,False,,False
802,"Rep. Jackson, Jeff [D-NC-14]",Jeff,,Jackson,D,NC,14.0,J000308,https://api.congress.gov/v3/member/J000308?format=json,2023-11-07,False,,False
802,"Rep. Stevens, Haley M. [D-MI-11]",Haley,M.,Stevens,D,MI,11.0,S001215,https://api.congress.gov/v3/member/S001215?format=json,2023-11-07,False,,False
802,"Rep. Lee, Summer L. [D-PA-12]",Summer,L.,Lee,D,PA,12.0,L000602,https://api.congress.gov/v3/member/L000602?format=json,2023-11-17,False,,False
802,"Rep. Sorensen, Eric [D-IL-17]",Eric,,Sorensen,D,IL,17.0,S001225,https://api.congress.gov/v3/member/S001225?format=json,2023-11-17,False,,False
802,"Rep. Issa, Darrell E. [R-CA-48]",DARRELL,E.,ISSA,R,CA,48.0,I000056,https://api.congress.gov/v3/member/I000056?format=json,2023-11-17,False,,False
802,"Rep. Sykes, Emilia Strong [D-OH-13]",Emilia,Strong,Sykes,D,OH,13.0,S001223,https://api.congress.gov/v3/member/S001223?format=json,2023-11-28,False,,False
