Sponsor Name,BioGuide ID,Party,State,District,Number of Bills Sponsored,Top Policy Areas,Bill Titles,Bill Policy Areas,Bill Cosponsors Count,Bill Committee Count,Bill Committee Details URL,Bill Statuses,Bill Links
"Sen. Sullivan, Dan [R-AK]",S001198,R,AK,,2,International Affairs(2),"STAND with Taiwan Act of 2023 | STAND with Taiwan Act of 2024, Section 11 (""Prohibition on investments by United States financial institutions that benefit the Government of the People's Republic of China or the Chinese Communist Party"")",International Affairs | International Affairs,1 | 1,1 | 1,https://api.congress.gov/v3/bill/118/s/1027/committees?format=json | https://api.congress.gov/v3/bill/118/s/4789/committees?format=json,Defunct | Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/1027 | https://www.congress.gov/bill/118th-congress/senate-bill/4789/text
"Rep. Rogers, Mike D. [R-AL-3]",R000575,R,AL,3,22,Armed Forces and National Security(22),"National Defense Authorization Act for Fiscal Year 2024, Section 7511 (""Expanded annual assessment of economic and technological capabilities of the People's Republic of China and related briefing"") | National Defense Authorization Act for Fiscal Year 2024, Section 346 (""Pilot program on optimization of aerial refueling and fuel management in contested logistics environments through use of artificial intelligence"") | National Defense Authorization Act for Fiscal Year 2024, Title XV, Subtitle E (""Artificial Intelligence"") | National Defense Authorization Act for Fiscal Year 2024, Section 6303 (""Establishment of the Chief Artificial Intelligence Officer of the Department of State"") | National Defense Authorization Act for Fiscal Year 2024, Title XIII, Subtitle B (""Other Matters Relating to Foreign Nations: Matters Relating to the AUKUS Partnership"") | National Defense Authorization Act for Fiscal Year 2024, Section 224 (""Next Generation Air Dominance family of systems development program accountability matrices"") | National Defense Authorization Act for Fiscal Year 2024, Section 251 (""Congressional notification of changes to Department of Defense policy on autonomy in weapon systems"") | National Defense Authorization Act for Fiscal Year 2024, Section 7513 (""Policies established by Director of National Intelligence for artificial intelligence capabilities"") | National Defense Authorization Act for Fiscal Year 2024, Section 112 (""Strategy for Army tactical wheeled vehicle program"") | National Defense Authorization Act for Fiscal Year 2024, Section 7356 (""Analysis of commercial cloud initiatives of intelligence community"") | National Defense Authorization Act for Fiscal Year 2024, Section 856 (""Pilot program to analyze and monitor certain supply chains"") | National Defense Authorization Act for Fiscal Year 2024, Section 1682 (""Electromagnetic Warfare"") | National Defense Authorization Act for Fiscal Year 2024, Section 7507 (""Programs for next-generation microelectronics in support of artificial intelligence"") | National Defense Authorization Act for Fiscal Year 2024, Section 1090 (""Conduct of weather reconnaissance in the United States"") | National Defense Authorization Act for Fiscal Year 2024, Section 1507 (""Review and plan relating to cyber red teams of Department of Defense"") | National Defense Authorization Act for Fiscal Year 2024, Section 253 (""Annual review of status of implementation plan for digital engineering career tracks"") | National Defense Authorization Act for Fiscal Year 2024, Section 811 (""Modernizing the Department of Defense requirements process"") | National Defense Authorization Act for Fiscal Year 2024, Section 1521 (""Control and management of Department of Defense data; establishment of Chief Digital and Artificial Intelligence Officer Governing Council"") | National Defense Authorization Act for Fiscal Year 2024, Section 903 (""Establishment of Office of Strategic Capital"") | National Defense Authorization Act for Fiscal Year 2024, Title XV, Subtitle C (""Cyberspace-Related Matters: Information Technology and Data Management"") | National Defense Authorization Act for Fiscal Year 2024, Section 350 (""Strategy and assessment on use of automation and artificial intelligence for shipyard optimization"") | National Defense Authorization Act for Fiscal Year 2024, Section 7510 (""Requirement to ensure intelligence community directives appropriately account for artificial intelligence and machine learning tools in intelligence products"")",Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security | Armed Forces and National Security,1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1,19 | 19 | 19 | 19 | 19 | 19 | 19 | 19 | 19 | 19 | 19 | 19 | 19 | 19 | 19 | 19 | 19 | 19 | 19 | 19 | 19 | 19,https://api.congress.gov/v3/bill/118/hr/2670/committees?format=json | https://api.congress.gov/v3/bill/118/hr/2670/committees?format=json | https://api.congress.gov/v3/bill/118/hr/2670/committees?format=json | https://api.congress.gov/v3/bill/118/hr/2670/committees?format=json | https://api.congress.gov/v3/bill/118/hr/2670/committees?format=json | https://api.congress.gov/v3/bill/118/hr/2670/committees?format=json | https://api.congress.gov/v3/bill/118/hr/2670/committees?format=json | https://api.congress.gov/v3/bill/118/hr/2670/committees?format=json | https://api.congress.gov/v3/bill/118/hr/2670/committees?format=json | https://api.congress.gov/v3/bill/118/hr/2670/committees?format=json | https://api.congress.gov/v3/bill/118/hr/2670/committees?format=json | https://api.congress.gov/v3/bill/118/hr/2670/committees?format=json | https://api.congress.gov/v3/bill/118/hr/2670/committees?format=json | https://api.congress.gov/v3/bill/118/hr/2670/committees?format=json | https://api.congress.gov/v3/bill/118/hr/2670/committees?format=json | https://api.congress.gov/v3/bill/118/hr/2670/committees?format=json | https://api.congress.gov/v3/bill/118/hr/2670/committees?format=json | https://api.congress.gov/v3/bill/118/hr/2670/committees?format=json | https://api.congress.gov/v3/bill/118/hr/2670/committees?format=json | https://api.congress.gov/v3/bill/118/hr/2670/committees?format=json | https://api.congress.gov/v3/bill/118/hr/2670/committees?format=json | https://api.congress.gov/v3/bill/118/hr/2670/committees?format=json,Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted | Enacted,https://www.congress.gov/bill/118th-congress/house-bill/2670/text | https://www.congress.gov/bill/118th-congress/house-bill/2670/text | https://www.congress.gov/bill/118th-congress/house-bill/2670/text | https://www.congress.gov/bill/118th-congress/house-bill/2670/text | https://www.congress.gov/bill/118th-congress/house-bill/2670/text | https://www.congress.gov/bill/118th-congress/house-bill/2670/text | https://www.congress.gov/bill/118th-congress/house-bill/2670/text | https://www.congress.gov/bill/118th-congress/house-bill/2670/text | https://www.congress.gov/bill/118th-congress/house-bill/2670/text | https://www.congress.gov/bill/118th-congress/house-bill/2670/text | https://www.congress.gov/bill/118th-congress/house-bill/2670/text | https://www.congress.gov/bill/118th-congress/house-bill/2670/text | https://www.congress.gov/bill/118th-congress/house-bill/2670/text | https://www.congress.gov/bill/118th-congress/house-bill/2670/text | https://www.congress.gov/bill/118th-congress/house-bill/2670/text | https://www.congress.gov/bill/118th-congress/house-bill/2670/text | https://www.congress.gov/bill/118th-congress/house-bill/2670/text | https://www.congress.gov/bill/118th-congress/house-bill/2670/text | https://www.congress.gov/bill/118th-congress/house-bill/2670/text | https://www.congress.gov/bill/118th-congress/house-bill/2670/text | https://www.congress.gov/bill/118th-congress/house-bill/2670/text | https://www.congress.gov/bill/118th-congress/house-bill/2670/text
"Rep. Hill, J. French [R-AR-2]",H001072,R,AR,2,1,Finance and Financial Sector(1),Unleashing AI Innovation in Financial Services Act,Finance and Financial Sector,1,1,https://api.congress.gov/v3/bill/118/hr/9309/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/9309/text
"Rep. Westerman, Bruce [R-AR-4]",W000821,R,AR,4,2,Public Lands and Natural Resources(2),"Fix Our Forests Act, Section 303 (""Public-private wildfire technology deployment and demonstration partnership"") | Fix Our Forests Act, Section 102 (""Fireshed Center"")",Public Lands and Natural Resources | Public Lands and Natural Resources,23 | 23,4 | 4,https://api.congress.gov/v3/bill/118/hr/8790/committees?format=json | https://api.congress.gov/v3/bill/118/hr/8790/committees?format=json,Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/8790/text | https://www.congress.gov/bill/118th-congress/house-bill/8790/text
"Sen. Cotton, Tom [R-AR]",C001095,R,AR,,1,International Affairs(1),No ICBMs or Drones for Iran Act of 2023,International Affairs,0,1,https://api.congress.gov/v3/bill/118/s/3334/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/3334
"Rep. Gallego, Ruben [D-AZ-3]",G000574,D,AZ,3,1,Environmental Protection(1),Water Infrastructure Modernization Act of 2023,Environmental Protection,2,2,https://api.congress.gov/v3/bill/118/hr/3490/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/3490
"Rep. Stanton, Greg [D-AZ-4]",S001211,D,AZ,4,1,Transportation and Public Works(1),Autonomous Vehicle Accessibility Act/AV Accessibility Act,Transportation and Public Works,4,1,https://api.congress.gov/v3/bill/118/hr/7126/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/7126
"Sen. Kelly, Mark [D-AZ]",K000377,D,AZ,,1,"Science, Technology, Communications(1)",Consumer Literacy and Empowerment to Advance Responsible Navigation of Artificial Intelligence Act,"Science, Technology, Communications",1,1,https://api.congress.gov/v3/bill/118/s/4838/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/4838
"Rep. Biggs, Andy [R-AZ-5]",B001302,R,AZ,5,1,Government Operations and Politics(1),Modernizing Retrospective Regulatory Review,Government Operations and Politics,2,1,https://api.congress.gov/v3/bill/118/hr/7533/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/7533
"Rep. Lesko, Debbie [R-AZ-8]",L000589,R,AZ,8,2,Commerce(1); Energy(1),Political BIAS Emails Act of 2023 | Advancing Nuclear Regulatory Oversight Act,Commerce | Energy,7 | 0,1 | 1,https://api.congress.gov/v3/bill/118/hr/5495/committees?format=json | https://api.congress.gov/v3/bill/118/hr/6346/committees?format=json,Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/5495 | https://www.congress.gov/bill/118th-congress/house-bill/6346
