,AGORA ID,bipartisanship,policy_area,n_cosponsors,n_D,n_R
0,1,0.5,Armed Forces and National Security,2,1,1
1,2,0.5,Armed Forces and National Security,2,1,1
2,3,0.5,Armed Forces and National Security,2,1,1
3,4,0.5,Armed Forces and National Security,2,1,1
4,5,0.3333333333333333,Armed Forces and National Security,3,1,2
5,6,0.3333333333333333,Armed Forces and National Security,3,1,2
6,7,0.3333333333333333,Armed Forces and National Security,3,1,2
7,8,0.3333333333333333,Armed Forces and National Security,3,1,2
8,9,0.3333333333333333,Armed Forces and National Security,3,1,2
9,10,0.3333333333333333,Armed Forces and National Security,3,1,2
10,11,0.3333333333333333,Armed Forces and National Security,3,1,2
11,12,0.3333333333333333,Armed Forces and National Security,3,1,2
12,13,0.3333333333333333,Armed Forces and National Security,3,1,2
13,14,0.3333333333333333,Armed Forces and National Security,3,1,2
14,15,0.3333333333333333,Armed Forces and National Security,3,1,2
15,16,0.3333333333333333,Armed Forces and National Security,3,1,2
16,17,0.3333333333333333,Armed Forces and National Security,3,1,2
17,26,0.0,Environmental Protection,3,0,2
18,27,0.0,Government Operations and Politics,1,0,1
19,28,0.3333333333333333,Crime and Law Enforcement,3,2,1
20,29,0.0,Armed Forces and National Security,1,0,1
21,34,0.3333333333333333,Public Lands and Natural Resources,3,2,1
22,52,0.42857142857142855,Economics and Public Finance,7,3,4
23,54,0.5,Economics and Public Finance,2,1,1
24,55,0.5,Economics and Public Finance,2,1,1
25,56,0.0,Transportation and Public Works,5,5,0
26,57,0.0,Transportation and Public Works,5,5,0
27,58,0.0,Transportation and Public Works,5,5,0
28,60,0.0,"Science, Technology, Communications",1,0,1
29,61,0.25,Economics and Public Finance,4,3,1
30,63,0.25,Economics and Public Finance,4,3,1
31,64,0.25,Economics and Public Finance,4,3,1
32,65,0.25,Economics and Public Finance,4,3,1
33,66,0.25,Economics and Public Finance,4,3,1
34,67,0.25,Economics and Public Finance,4,3,1
35,68,0.25,Economics and Public Finance,4,3,1
36,69,0.25,Economics and Public Finance,4,3,1
37,70,0.3333333333333333,Government Operations and Politics,3,1,2
38,89,0.17647058823529413,"Science, Technology, Communications",68,56,12
39,162,0.0,Transportation and Public Works,5,5,0
40,163,0.0,Transportation and Public Works,5,5,0
41,164,0.0,Transportation and Public Works,5,5,0
42,165,0.0,Transportation and Public Works,5,5,0
43,186,0.0,Armed Forces and National Security,1,1,0
44,187,0.0,Armed Forces and National Security,1,1,0
45,188,0.0,Armed Forces and National Security,1,1,0
46,189,0.0,Armed Forces and National Security,1,1,0
47,190,0.0,Armed Forces and National Security,1,1,0
48,191,0.0,Armed Forces and National Security,1,1,0
49,192,0.0,Armed Forces and National Security,1,1,0
50,193,0.0,Armed Forces and National Security,1,1,0
51,194,0.0,Armed Forces and National Security,1,1,0
52,195,0.0,Armed Forces and National Security,1,1,0
53,196,0.0,Armed Forces and National Security,1,1,0
54,197,0.0,Armed Forces and National Security,1,1,0
55,198,0.0,Armed Forces and National Security,1,1,0
