Cosponsor_BioguideId,Cosponsor_FullName,Cosponsor_Party,Cosponsor_State,bill_count
S001194,"Sen. Schatz, Brian [D-HI]",D,HI,3
F000479,"Sen. Fetterman, John [D-PA]",D,PA,3
S000185,"Rep. Scott, Robert C. ""Bobby"" [D-VA-3]",D,VA,3
B001288,"Sen. Booker, Cory A. [D-NJ]",D,NJ,2
T000472,"Rep. Takano, Mark [D-CA-39]",D,CA,2
M001214,"Rep. Mrvan, Frank J. [D-IN-1]",D,IN,2
A000370,"Rep. Adams, Alma S. [D-NC-12]",D,NC,2
D000623,"Rep. DeSaulnier, Mark [D-CA-10]",D,CA,2
S001177,"Del. Sablan, Gregorio Kilili Camacho [D-MP-At Large]",D,MP,2
M001208,"Rep. McBath, Lucy [D-GA-7]",D,GA,2
H001081,"Rep. Hayes, Jahana [D-CT-5]",D,CT,2
W000808,"Rep. Wilson, Frederica S. [D-FL-24]",D,FL,2
W000826,"Rep. Wild, Susan [D-PA-7]",D,PA,2
M001135,"Rep. Manning, Kathy E. [D-NC-6]",D,NC,2
L000570,"Sen. Lujan, Ben Ray [D-NM]",D,NM,2
B001278,"Rep. Bonamici, Suzanne [D-OR-1]",D,OR,2
B001303,"Rep. Blunt Rochester, Lisa [D-DE-At Large]",D,DE,2
N000188,"Rep. Norcross, Donald [D-NJ-1]",D,NJ,2
C001069,"Rep. Courtney, Joe [D-CT-2]",D,CT,2
F000466,"Rep. Fitzpatrick, Brian K. [R-PA-1]",R,PA,2
S000033,"Sen. Sanders, Bernard [I-VT]",I,VT,2
C001135,"Rep. Chavez-DeRemer, Lori [R-OR-5]",R,OR,2
R000617,"Rep. Ramirez, Delia C. [D-IL-3]",D,IL,1
C001127,"Rep. Cherfilus-McCormick, Sheila [D-FL-20]",D,FL,1
B001313,"Rep. Brown, Shontel M. [D-OH-11]",D,OH,1
M001163,"Rep. Matsui, Doris O. [D-CA-7]",D,CA,1
C000537,"Rep. Clyburn, James E. [D-SC-6]",D,SC,1
M001225,"Rep. Mullin, Kevin [D-CA-15]",D,CA,1
S001205,"Rep. Scanlon, Mary Gay [D-PA-5]",D,PA,1
C001121,"Rep. Crow, Jason [D-CO-6]",D,CO,1
S001226,"Rep. Salinas, Andrea [D-OR-6]",D,OR,1
B000490,"Rep. Bishop, Sanford D., Jr. [D-GA-2]",D,GA,1
N000191,"Rep. Neguse, Joe [D-CO-2]",D,CO,1
D000617,"Rep. DelBene, Suzan K. [D-WA-1]",D,WA,1
K000400,"Rep. Kamlager-Dove, Sydney [D-CA-37]",D,CA,1
G000551,"Rep. Grijalva, Raúl M. [D-AZ-7]",D,AZ,1
U000040,"Rep. Underwood, Lauren [D-IL-14]",D,IL,1
L000273,"Rep. Leger Fernandez, Teresa [D-NM-3]",D,NM,1
