,Policy Area,Sponsors,Degree Centrality,Eigenvector Centrality,Betweenness Centrality,Weighted Degree
4,Health,313,1.0,0.4965835152902893,0.0,1161
10,Labor and Employment,249,1.0,0.43150215898414135,0.0,907
2,"Science, Technology, Communications",260,1.0,0.4237599383427638,0.0,993
8,Government Operations and Politics,161,1.0,0.3400932900965256,0.0,697
17,Commerce,124,1.0,0.2650339851148005,0.013419913419913419,550
16,Transportation and Public Works,84,1.0,0.18958298712386318,0.0,383
0,Armed Forces and National Security,103,1.0,0.17581974396383782,0.017748917748917747,385
12,International Affairs,117,0.9090909090909092,0.1609498240056938,0.0,351
1,Crime and Law Enforcement,76,0.9545454545454546,0.1558172665439993,0.009235209235209235,341
3,"Civil Rights and Liberties, Minority Issues",57,0.9545454545454546,0.13660120466575015,0.04397546897546897,298
7,Education,42,1.0,0.10788732087667838,0.02784992784992785,210
15,Foreign Trade and International Finance,46,0.9090909090909092,0.0988582430993552,0.009307359307359308,218
5,Agriculture and Food,44,0.9545454545454546,0.09422502683992234,0.0,202
9,Public Lands and Natural Resources,52,0.9545454545454546,0.09041955369616558,0.0,205
14,Immigration,45,0.9090909090909092,0.08915342438620691,0.004978354978354978,195
18,Finance and Financial Sector,39,1.0,0.08059086523447198,0.0,188
19,Housing and Community Development,22,0.9090909090909092,0.06393112082816416,0.14170274170274172,131
6,Energy,29,0.9545454545454546,0.05840869774760639,0.05418470418470418,135
11,Taxation,25,0.9090909090909092,0.042695138696292226,0.13531746031746034,96
13,Emergency Management,21,0.7727272727272727,0.040779377742044154,0.027994227994227995,90
21,Environmental Protection,20,0.9090909090909092,0.03959013546762576,0.04314574314574315,93
20,Economics and Public Finance,12,0.8181818181818182,0.01846194836507601,0.3903679653679653,43
22,"Arts, Culture, Religion",5,0.5454545454545454,0.015198366778922131,0.2266955266955267,30
