Policy Area,total_sponsors,multi_area_sponsors,integration_score,avg_areas_per_sponsor
Armed Forces and National Security,103.0,89.0,0.8640776699029126,4.737864077669903
Immigration,45.0,39.0,0.8666666666666667,5.333333333333333
Finance and Financial Sector,39.0,35.0,0.8974358974358975,5.82051282051282
International Affairs,117.0,106.0,0.905982905982906,4.0
Economics and Public Finance,12.0,11.0,0.9166666666666666,4.583333333333333
Public Lands and Natural Resources,52.0,48.0,0.9230769230769231,4.9423076923076925
Crime and Law Enforcement,76.0,71.0,0.9342105263157895,5.4868421052631575
"Science, Technology, Communications",260.0,244.0,0.9384615384615385,4.819230769230769
Taxation,25.0,24.0,0.96,4.84
Energy,29.0,28.0,0.9655172413793104,5.655172413793103
Commerce,124.0,120.0,0.967741935483871,5.435483870967742
Government Operations and Politics,161.0,156.0,0.968944099378882,5.329192546583851
Health,313.0,305.0,0.9744408945686901,4.7092651757188495
Labor and Employment,249.0,243.0,0.9759036144578314,4.642570281124498
Agriculture and Food,44.0,43.0,0.9772727272727273,5.590909090909091
Education,42.0,42.0,1.0,6.0
"Arts, Culture, Religion",5.0,5.0,1.0,7.0
"Civil Rights and Liberties, Minority Issues",57.0,57.0,1.0,6.228070175438597
Foreign Trade and International Finance,46.0,46.0,1.0,5.739130434782608
Transportation and Public Works,84.0,84.0,1.0,5.559523809523809
Housing and Community Development,22.0,22.0,1.0,6.954545454545454
Environmental Protection,20.0,20.0,1.0,5.65
Emergency Management,21.0,21.0,1.0,5.285714285714286
