,Cosponsor_BioguideId,depth,breadth,party,state,name
0,A000148,5,4,D,MA,"Rep. Auchincloss, Jake [D-MA-4]"
1,A000369,1,1,R,NV,"Rep. Amodei, Mark E. [R-NV-2]"
2,A000370,8,6,D,NC,"Rep. Adams, Alma S. [D-NC-12]"
3,A000371,2,2,D,CA,"Rep. Aguilar, Pete [D-CA-33]"
4,A000372,5,2,R,GA,"Rep. Allen, Rick W. [R-GA-12]"
5,A000375,5,2,R,TX,"Rep. Arrington, Jodey C. [R-TX-19]"
6,A000376,9,5,D,TX,"Rep. Allred, Colin Z. [D-TX-32]"
7,A000379,4,1,R,MO,"Rep. Alford, Mark [R-MO-4]"
8,A000380,5,3,D,RI,"Rep. Amo, Gabe [D-RI-1]"
9,B000490,3,3,D,GA,"Rep. Bishop, Sanford D., Jr. [D-GA-2]"
10,B000574,3,2,D,OR,"Rep. Blumenauer, Earl [D-OR-3]"
11,B000668,2,1,R,OR,"Rep. Bentz, Cliff [R-OR-2]"
12,B000740,6,2,R,OK,"Rep. Bice, Stephanie I. [R-OK-5]"
13,B000825,2,1,R,CO,"Rep. Boebert, Lauren [R-CO-3]"
14,B000944,4,4,D,OH,"Sen. Brown, Sherrod [D-OH]"
15,B001223,10,7,D,NY,"Rep. Bowman, Jamaal [D-NY-16]"
16,B001224,4,4,D,MO,"Rep. Bush, Cori [D-MO-1]"
17,B001230,9,7,D,WI,"Sen. Baldwin, Tammy [D-WI]"
18,B001236,4,4,R,AR,"Sen. Boozman, John [R-AR]"
19,B001243,17,6,R,TN,"Sen. Blackburn, Marsha [R-TN]"
20,B001248,2,2,R,TX,"Rep. Burgess, Michael C. [R-TX-26]"
21,B001257,3,3,R,FL,"Rep. Bilirakis, Gus M. [R-FL-12]"
22,B001260,2,2,R,FL,"Rep. Buchanan, Vern [R-FL-16]"
23,B001261,4,1,R,WY,"Sen. Barrasso, John [R-WY]"
24,B001267,5,5,D,CO,"Sen. Bennet, Michael F. [D-CO]"
25,B001275,2,1,R,IN,"Rep. Bucshon, Larry [R-IN-8]"
26,B001277,10,7,D,CT,"Sen. Blumenthal, Richard [D-CT]"
27,B001278,28,10,D,OR,"Rep. Bonamici, Suzanne [D-OR-1]"
