,bioguide,name,party,state,doc_count
414,D000624,"Rep. Dingell, Debbie [D-MI-6]",D,MI,39
482,L000599,"Rep. Lawler, Michael [R-NY-17]",R,NY,37
405,R000603,"Rep. Rouzer, David [R-NC-7]",R,NC,37
24,S000344,"Rep. Sherman, Brad [D-CA-32]",D,CA,36
446,S001218,"Rep. Stansbury, Melanie Ann [D-NM-1]",D,NM,36
418,G000551,"Rep. Grijalva, Raúl M. [D-AZ-7]",D,AZ,36
279,N000179,"Rep. Napolitano, Grace F. [D-CA-32]",D,CA,36
497,W000826,"Rep. Wild, Susan [D-PA-7]",D,PA,34
20,M001219,"Del. Moylan, James C. [R-GU-At Large]",R,GU,32
172,T000460,"Rep. Thompson, Mike [D-CA-4]",D,CA,32
171,G000546,"Rep. Graves, Sam [R-MO-6]",R,MO,31
111,C001059,"Rep. Costa, Jim [D-CA-21]",D,CA,31
181,C001103,"Rep. Carter, Earl L. ""Buddy"" [R-GA-1]",R,GA,30
504,N000147,"Del. Norton, Eleanor Holmes [D-DC-At Large]",D,DC,29
519,B001278,"Rep. Bonamici, Suzanne [D-OR-1]",D,OR,28
158,G000582,"Rescom. González-Colón, Jenniffer [R-PR-At Large]",R,PR,26
170,S000510,"Rep. Smith, Adam [D-WA-9]",D,WA,26
363,G000597,"Rep. Garbarino, Andrew R. [R-NY-2]",R,NY,26
240,F000466,"Rep. Fitzpatrick, Brian K. [R-PA-1]",R,PA,23
438,H001046,"Sen. Heinrich, Martin [D-NM]",D,NM,21
332,P000145,"Sen. Padilla, Alex [D-CA]",D,CA,20
444,F000477,"Rep. Foushee, Valerie P. [D-NC-4]",D,NC,19
449,G000583,"Rep. Gottheimer, Josh [D-NJ-5]",D,NJ,19
379,C001072,"Rep. Carson, Andre [D-IN-7]",D,IN,18
50,B001243,"Sen. Blackburn, Marsha [R-TN]",R,TN,17
420,L000570,"Sen. Lujan, Ben Ray [D-NM]",D,NM,17
85,R000595,"Sen. Rubio, Marco [R-FL]",R,FL,17
96,Y000064,"Sen. Young, Todd [R-IN]",R,IN,16
226,C001134,"Rep. Caraveo, Yadira [D-CO-8]",D,CO,16
299,D000230,"Rep. Davis, Donald G. [D-NC-1]",D,NC,15
448,K000398,"Rep. Kean, Thomas H. [R-NJ-7]",R,NJ,15
403,P000616,"Rep. Phillips, Dean [D-MN-3]",D,MN,15
81,P000620,"Rep. Pettersen, Brittany [D-CO-7]",D,CO,15
373,L000397,"Rep. Lofgren, Zoe [D-CA-18]",D,CA,15
154,N000193,"Rep. Nunn, Zachary [R-IA-3]",R,IA,15
349,S001209,"Rep. Spanberger, Abigail Davis [D-VA-7]",D,VA,14
489,O000019,"Rep. Obernolte, Jay [R-CA-23]",R,CA,14
205,T000483,"Rep. Trone, David J. [D-MD-6]",D,MD,14
265,B001307,"Rep. Baird, James R. [R-IN-4]",R,IN,14
285,W000800,"Sen. Welch, Peter [D-VT]",D,VT,14
67,M001221,"Rep. Molinaro, Marcus J. [R-NY-19]",R,NY,14
484,S001215,"Rep. Stevens, Haley M. [D-MI-11]",D,MI,14
376,B001287,"Rep. Bera, Ami [D-CA-6]",D,CA,14
164,H001081,"Rep. Hayes, Jahana [D-CT-5]",D,CT,14
