src_id,relation,dst_id,layer,sponsor_bioguide
document:838,SPONSORED_BY,sponsor:G000546,1,
document:839,SPONSORED_BY,sponsor:G000546,1,
document:447,SPONSORED_BY,sponsor:C001067,1,
document:1736,SPONSORED_BY,sponsor:J000295,1,
document:444,SPONSORED_BY,sponsor:H001046,1,
document:637,SPONSORED_BY,sponsor:L000582,1,
document:2393,SPONSORED_BY,sponsor:O000019,1,
document:2301,SPONSORED_BY,sponsor:H001089,1,
document:2336,SPONSORED_BY,sponsor:C000059,1,
document:2367,SPONSORED_BY,sponsor:D000230,1,
document:2347,SPONSORED_BY,sponsor:P000048,1,
document:2399,SPONSORED_BY,sponsor:M000194,1,
document:2320,SPONSORED_BY,sponsor:G000590,1,
document:2381,SPONSORED_BY,sponsor:N000193,1,
document:2304,SPONSORED_BY,sponsor:Y000064,1,
document:2334,SPONSORED_BY,sponsor:B001257,1,
document:2410,SPONSORED_BY,sponsor:H001095,1,
document:2409,SPONSORED_BY,sponsor:W000779,1,
document:1203,SPONSORED_BY,sponsor:R000305,1,
document:406,SPONSORED_BY,sponsor:B001303,1,
document:904,SPONSORED_BY,sponsor:K000367,1,
document:660,SPONSORED_BY,sponsor:L000578,1,
document:1301,SPONSORED_BY,sponsor:T000474,1,
document:1228,SPONSORED_BY,sponsor:F000477,1,
document:1243,SPONSORED_BY,sponsor:L000397,1,
document:1737,SPONSORED_BY,sponsor:J000295,1,
document:1757,SPONSORED_BY,sponsor:J000295,1,
document:1740,SPONSORED_BY,sponsor:J000295,1,
document:1747,SPONSORED_BY,sponsor:J000295,1,
document:1749,SPONSORED_BY,sponsor:J000295,1,
document:1750,SPONSORED_BY,sponsor:J000295,1,
document:1739,SPONSORED_BY,sponsor:J000295,1,
document:1751,SPONSORED_BY,sponsor:J000295,1,
document:1756,SPONSORED_BY,sponsor:J000295,1,
document:1738,SPONSORED_BY,sponsor:J000295,1,
document:1752,SPONSORED_BY,sponsor:J000295,1,
document:1758,SPONSORED_BY,sponsor:J000295,1,
document:1742,SPONSORED_BY,sponsor:J000295,1,
document:1746,SPONSORED_BY,sponsor:J000295,1,
document:1741,SPONSORED_BY,sponsor:J000295,1,
document:1745,SPONSORED_BY,sponsor:J000295,1,
document:1748,SPONSORED_BY,sponsor:J000295,1,
document:1753,SPONSORED_BY,sponsor:J000295,1,
document:1755,SPONSORED_BY,sponsor:J000295,1,
document:1744,SPONSORED_BY,sponsor:J000295,1,
document:1754,SPONSORED_BY,sponsor:J000295,1,
document:1743,SPONSORED_BY,sponsor:J000295,1,
