node_id,bioguide_id,full_name,last_name,first_name,party,state,district,chamber
sponsor:A000372,A000372,"Rep. Allen, Rick W. [R-GA-12]",Allen,Rick W.,R,GA,12,Rep
sponsor:B000740,B000740,"Rep. Bice, Stephanie I. [R-OK-5]",Bice,Stephanie I.,R,OK,5,Rep
sponsor:B001243,B001243,"Sen. Blackburn, Marsha [R-TN]",Blackburn,Marsha,R,TN,,Sen
sponsor:B001257,B001257,"Rep. Bilirakis, Gus M. [R-FL-12]",Bilirakis,Gus M.,R,FL,12,Rep
sponsor:B001260,B001260,"Rep. Buchanan, Vern [R-FL-16]",Buchanan,Vern,R,FL,16,Rep
sponsor:B001267,B001267,"Sen. Bennet, Michael F. [D-CO]",Bennet,Michael F.,D,CO,,Sen
sponsor:B001275,B001275,"Rep. Bucshon, Larry [R-IN-8]",Bucshon,Larry,R,IN,8,Rep
sponsor:B001277,B001277,"Sen. Blumenthal, Richard [D-CT]",Blumenthal,Richard,D,CT,,Sen
sponsor:B001278,B001278,"Rep. Bonamici, Suzanne [D-OR-1]",Bonamici,Suzanne,D,OR,1,Rep
sponsor:B001281,B001281,"Rep. Beatty, Joyce [D-OH-3]",Beatty,Joyce,D,OH,3,Rep
sponsor:B001288,B001288,"Sen. Booker, Cory A. [D-NJ]",Booker,Cory A.,D,NJ,,Sen
sponsor:B001292,B001292,"Rep. Beyer, Donald S., Jr. [D-VA-8]",Beyer,"Donald S., Jr.",D,VA,8,Rep
sponsor:B001295,B001295,"Rep. Bost, Mike [R-IL-12]",Bost,Mike,R,IL,12,Rep
sponsor:B001298,B001298,"Rep. Bacon, Don [R-NE-2]",Bacon,Don,R,NE,2,Rep
sponsor:B001299,B001299,"Rep. Banks, Jim [R-IN-3]",Banks,Jim,R,IN,3,Rep
sponsor:B001300,B001300,"Rep. Barragán, Nanette Diaz [D-CA-44]",Barragán,Nanette Diaz,D,CA,44,Rep
sponsor:B001302,B001302,"Rep. Biggs, Andy [R-AZ-5]",Biggs,Andy,R,AZ,5,Rep
sponsor:B001303,B001303,"Rep. Blunt Rochester, Lisa [D-DE-At Large]",Blunt Rochester,Lisa,D,DE,,Rep
sponsor:B001305,B001305,"Sen. Budd, Ted [R-NC]",Budd,Ted,R,NC,,Sen
sponsor:B001307,B001307,"Rep. Baird, James R. [R-IN-4]",Baird,James R.,R,IN,4,Rep
sponsor:B001310,B001310,"Sen. Braun, Mike [R-IN]",Braun,Mike,R,IN,,Sen
sponsor:B001313,B001313,"Rep. Brown, Shontel M. [D-OH-11]",Brown,Shontel M.,D,OH,11,Rep
sponsor:B001318,B001318,"Rep. Balint, Becca [D-VT-At Large]",Balint,Becca,D,VT,,Rep
sponsor:B001320,B001320,"Sen. Butler, Laphonza R. [D-CA]",Butler,Laphonza R.,D,CA,,Sen
sponsor:C000059,C000059,"Rep. Calvert, Ken [R-CA-41]",Calvert,Ken,R,CA,41,Rep
sponsor:C000127,C000127,"Sen. Cantwell, Maria [D-WA]",Cantwell,Maria,D,WA,,Sen
sponsor:C000141,C000141,"Sen. Cardin, Benjamin L. [D-MD]",Cardin,Benjamin L.,D,MD,,Sen
sponsor:C001053,C001053,"Rep. Cole, Tom [R-OK-4]",Cole,Tom,R,OK,4,Rep
sponsor:C001056,C001056,"Sen. Cornyn, John [R-TX]",Cornyn,John,R,TX,,Sen
sponsor:C001063,C001063,"Rep. Cuellar, Henry [D-TX-28]",Cuellar,Henry,D,TX,28,Rep
sponsor:C001066,C001066,"Rep. Castor, Kathy [D-FL-14]",Castor,Kathy,D,FL,14,Rep
