node_id,node_type,label,agora_id,casual_name,link_to_document,most_recent_activity,most_recent_activity_date,jurisdiction,parent_authority,description,document_id,segment_position,summary,non_operative,not_ai_related,source_column
authority:other_authorities,Authority,Other authorities,,,,,,,,,,,,,,
authority:private-sector_companies,Authority,Private-sector companies,,,,,,,,,,,,,,
authority:chinese_central_government,Authority,Chinese central government,,,,,,China,,,,,,,,
authority:chinese_provincial_and_local_governments,Authority,Chinese provincial and local governments,,,,,,China,,,,,,,,
authority:other_multinational,Authority,Other multinational,,,,,,Multinational,,,,,,,,
authority:european_union,Authority,European Union,,,,,,Multinational,,,,,,,,
authority:oecd,Authority,OECD,,,,,,Multinational,,,,,,,,
authority:united_nations,Authority,United Nations,,,,,,Multinational,,,,,,,,
authority:government_of_turkey,Authority,Government of Turkey,,,,,,Other countries,,,,,,,,
authority:government_of_australia,Authority,Government of Australia,,,,,,Other countries,,,,,,,,
authority:government_of_new_zealand,Authority,Government of New Zealand,,,,,,Other countries,,,,,,,,
authority:government_of_singapore,Authority,Government of Singapore,,,,,,Other countries,,,,,,,,
authority:government_of_the_united_arab_emirates,Authority,Government of the United Arab Emirates,,,,,,Other countries,,,,,,,,
authority:government_of_israel,Authority,Government of Israel,,,,,,Other countries,,,,,,,,
authority:government_of_the_united_kingdom,Authority,Government of the United Kingdom,,,,,,Other countries,,,,,,,,
authority:government_of_canada,Authority,Government of Canada,,,,,,Other countries,,,,,,,,
authority:federal_government,Authority,Federal government,,,,,,United States,,,,,,,,
authority:local_governments,Authority,Local governments,,,,,,United States,,,,,,,,
authority:state_governments,Authority,State governments,,,,,,United States,,,,,,,,
authority:department_of_transportation,Authority,Department of Transportation,,,,,,United States,Federal government,,,,,,,
authority:national_institute_of_standards_and_technology,Authority,National Institute of Standards and Technology,,,,,,United States,Federal government,,,,,,,
authority:office_of_management_and_budget,Authority,Office of Management and Budget,,,,,,United States,Federal government,,,,,,,
authority:department_of_homeland_security,Authority,Department of Homeland Security,,,,,,United States,Federal government,,,,,,,
authority:copyright_office__library_of_congress,Authority,"Copyright Office, Library of Congress",,,,,,United States,Federal government,,,,,,,
authority:department_of_energy,Authority,Department of Energy,,,,,,United States,Federal government,,,,,,,
authority:department_of_the_treasury,Authority,Department of the Treasury,,,,,,United States,Federal government,,,,,,,
authority:consumer_financial_protection_bureau,Authority,Consumer Financial Protection Bureau,,,,,,United States,Federal government,,,,,,,
authority:food_and_drug_administration,Authority,Food and Drug Administration,,,,,,United States,Federal government,,,,,,,
authority:department_of_housing_and_urban_development,Authority,Department of Housing and Urban Development,,,,,,United States,Federal government,,,,,,,
authority:office_of_personnel_management,Authority,Office of Personnel Management,,,,,,United States,Federal government,,,,,,,
authority:federal_election_commission,Authority,Federal Election Commission,,,,,,United States,Federal government,,,,,,,
authority:executive_office_of_the_president,Authority,Executive Office of the President,,,,,,United States,Federal government,,,,,,,
authority:department_of_commerce,Authority,Department of Commerce,,,,,,United States,Federal government,,,,,,,
authority:department_of_health_and_human_services,Authority,Department of Health and Human Services,,,,,,United States,Federal government,,,,,,,
authority:office_of_science_and_technology_policy,Authority,Office of Science and Technology Policy,,,,,,United States,Federal government,,,,,,,
authority:united_states_congress,Authority,United States Congress,,,,,,United States,Federal government,,,,,,,
authority:department_of_agriculture,Authority,Department of Agriculture,,,,,,United States,Federal government,,,,,,,
authority:department_of_defense,Authority,Department of Defense,,,,,,United States,Federal government,,,,,,,
authority:department_of_education,Authority,Department of Education,,,,,,United States,Federal government,,,,,,,
authority:boston__ma,Authority,"Boston, MA",,,,,,United States,Local governments,,,,,,,
authority:long_beach__ca,Authority,"Long Beach, CA",,,,,,United States,Local governments,,,,,,,
authority:indianapolis__in,Authority,"Indianapolis, IN",,,,,,United States,Local governments,,,,,,,
authority:tulsa__ok,Authority,"Tulsa, OK",,,,,,United States,Local governments,,,,,,,
authority:new_york__ny,Authority,"New York, NY",,,,,,United States,Local governments,,,,,,,
authority:san_francisco__ca,Authority,"San Francisco, CA",,,,,,United States,Local governments,,,,,,,
authority:san_jose__ca,Authority,"San Jose, CA",,,,,,United States,Local governments,,,,,,,
authority:kendall_county__il,Authority,"Kendall County, IL",,,,,,United States,Local governments,,,,,,,
authority:tempe__az,Authority,"Tempe, AZ",,,,,,United States,Local governments,,,,,,,
authority:st._louis__mo,Authority,"St. Louis, MO",,,,,,United States,Local governments,,,,,,,
authority:boise__id,Authority,"Boise, ID",,,,,,United States,Local governments,,,,,,,
authority:miami_dade_county__fl,Authority,"Miami Dade County, FL",,,,,,United States,Local governments,,,,,,,
authority:los_angeles__ca,Authority,"Los Angeles, CA",,,,,,United States,Local governments,,,,,,,
authority:seattle__wa,Authority,"Seattle, WA",,,,,,United States,Local governments,,,,,,,
authority:santa_cruz_county__ca,Authority,"Santa Cruz County, CA",,,,,,United States,Local governments,,,,,,,
authority:texas,Authority,Texas,,,,,,United States,State governments,,,,,,,
authority:virginia,Authority,Virginia,,,,,,United States,State governments,,,,,,,
authority:massachusetts,Authority,Massachusetts,,,,,,United States,State governments,,,,,,,
authority:arkansas,Authority,Arkansas,,,,,,United States,State governments,,,,,,,
authority:utah,Authority,Utah,,,,,,United States,State governments,,,,,,,
authority:kentucky,Authority,Kentucky,,,,,,United States,State governments,,,,,,,
authority:wyoming,Authority,Wyoming,,,,,,United States,State governments,,,,,,,
authority:nebraska,Authority,Nebraska,,,,,,United States,State governments,,,,,,,
authority:georgia,Authority,Georgia,,,,,,United States,State governments,,,,,,,
authority:new_jersey,Authority,New Jersey,,,,,,United States,State governments,,,,,,,
authority:oregon,Authority,Oregon,,,,,,United States,State governments,,,,,,,
authority:pennsylvania,Authority,Pennsylvania,,,,,,United States,State governments,,,,,,,
authority:california,Authority,California,,,,,,United States,State governments,,,,,,,
authority:mississippi,Authority,Mississippi,,,,,,United States,State governments,,,,,,,
authority:florida,Authority,Florida,,,,,,United States,State governments,,,,,,,
authority:new_york,Authority,New York,,,,,,United States,State governments,,,,,,,
authority:montana,Authority,Montana,,,,,,United States,State governments,,,,,,,
authority:new_mexico,Authority,New Mexico,,,,,,United States,State governments,,,,,,,
authority:tennessee,Authority,Tennessee,,,,,,United States,State governments,,,,,,,
authority:maryland,Authority,Maryland,,,,,,United States,State governments,,,,,,,
authority:arizona,Authority,Arizona,,,,,,United States,State governments,,,,,,,
authority:indiana,Authority,Indiana,,,,,,United States,State governments,,,,,,,
authority:rhode_island,Authority,Rhode Island,,,,,,United States,State governments,,,,,,,
authority:nevada,Authority,Nevada,,,,,,United States,State governments,,,,,,,
authority:louisiana,Authority,Louisiana,,,,,,United States,State governments,,,,,,,
authority:alabama,Authority,Alabama,,,,,,United States,State governments,,,,,,,
authority:minnesota,Authority,Minnesota,,,,,,United States,State governments,,,,,,,
authority:illinois,Authority,Illinois,,,,,,United States,State governments,,,,,,,
authority:vermont,Authority,Vermont,,,,,,United States,State governments,,,,,,,
authority:west_virginia,Authority,West Virginia,,,,,,United States,State governments,,,,,,,
authority:colorado,Authority,Colorado,,,,,,United States,State governments,,,,,,,
authority:kansas,Authority,Kansas,,,,,,United States,State governments,,,,,,,
authority:missouri,Authority,Missouri,,,,,,United States,State governments,,,,,,,
authority:district_of_columbia,Authority,District of Columbia,,,,,,United States,State governments,,,,,,,
authority:connecticut,Authority,Connecticut,,,,,,United States,State governments,,,,,,,
authority:south_dakota,Authority,South Dakota,,,,,,United States,State governments,,,,,,,
authority:maine,Authority,Maine,,,,,,United States,State governments,,,,,,,
authority:north_carolina,Authority,North Carolina,,,,,,United States,State governments,,,,,,,
authority:new_hampshire,Authority,New Hampshire,,,,,,United States,State governments,,,,,,,
authority:hawaii,Authority,Hawaii,,,,,,United States,State governments,,,,,,,
authority:wisconsin,Authority,Wisconsin,,,,,,United States,State governments,,,,,,,
authority:south_carolina,Authority,South Carolina,,,,,,United States,State governments,,,,,,,
authority:oklahoma,Authority,Oklahoma,,,,,,United States,State governments,,,,,,,
authority:alaska,Authority,Alaska,,,,,,United States,State governments,,,,,,,
authority:idaho,Authority,Idaho,,,,,,United States,State governments,,,,,,,
authority:michigan,Authority,Michigan,,,,,,United States,State governments,,,,,,,
authority:washington,Authority,Washington,,,,,,United States,State governments,,,,,,,
authority:delaware,Authority,Delaware,,,,,,United States,State governments,,,,,,,
authority:north_dakota,Authority,North Dakota,,,,,,United States,State governments,,,,,,,
authority:iowa,Authority,Iowa,,,,,,United States,State governments,,,,,,,
authority:ohio,Authority,Ohio,,,,,,United States,State governments,,,,,,,
collection:ndaa_provisions,Collection,NDAA provisions,,,,,,,,AI-related provisions from recent National Defense Authorization Acts.,,,,,,
collection:fy2021_ndaa,Collection,FY2021 NDAA,,,,,,,,AI-related provisions from the National Defense Authorization Act for fiscal year 2021.,,,,,,
collection:editors__picks,Collection,Editors' Picks,,,,,,,,Notable AI governance documents from the U.S. and around the world. Selected by ETO and CSET researchers.,,,,,,
collection:fy2022_ndaa,Collection,FY2022 NDAA,,,,,,,,AI-related provisions from the National Defense Authorization Act for fiscal year 2022.,,,,,,
collection:u.s._regulations__executive_orders__and_agency_policies,Collection,"U.S. regulations, executive orders, and agency policies",,,,,,,,U.S. federal regulations and other AI-related documents from the executive branch.,,,,,,
